"REF_DATE","GEO","DGUID","Employment category","Air carrier levels","Employees and salary expenses","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Pilots and co-pilots","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100687","1.2.1.2","1285216","","","","0"
"2015","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100658","1.2.2.1","9136","","","","0"
"2015","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100659","1.2.2.2","1151823","","","","0"
"2015","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100672","1.2.3.1","2125","","","","0"
"2015","Canada","2016A000011124","Pilots and co-pilots","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100673","1.2.3.2","133393","","","","0"
"2015","Canada","2016A000011124","Other flight personnel","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100688","1.3.1.1","11598","","","","0"
"2015","Canada","2016A000011124","Other flight personnel","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100689","1.3.1.2","671801","","","","0"
"2015","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100660","1.3.2.1","11230","","","","0"
"2015","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100661","1.3.2.2","656623","","","","0"
"2015","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100674","1.3.3.1","368","","","","0"
"2015","Canada","2016A000011124","Other flight personnel","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100675","1.3.3.2","15178","","","","0"
"2015","Canada","2016A000011124","General management and administration employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100690","1.4.1.1","4098","","","","0"
"2015","Canada","2016A000011124","General management and administration employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100691","1.4.1.2","357488","","","","0"
"2015","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100662","1.4.2.1","3070","","","","0"
"2015","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100663","1.4.2.2","294134","","","","0"
"2015","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100676","1.4.3.1","1028","","","","0"
"2015","Canada","2016A000011124","General management and administration employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100677","1.4.3.2","63354","","","","0"
"2015","Canada","2016A000011124","Maintenance personnel","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100692","1.5.1.1","12357","","","","0"
"2015","Canada","2016A000011124","Maintenance personnel","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100693","1.5.1.2","779063","","","","0"
"2015","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100664","1.5.2.1","11146","","","","0"
"2015","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100665","1.5.2.2","697281","","","","0"
"2015","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100678","1.5.3.1","1211","","","","0"
"2015","Canada","2016A000011124","Maintenance personnel","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100679","1.5.3.2","81782","","","","0"
"2015","Canada","2016A000011124","Aircraft and traffic servicing personnel","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100694","1.6.1.1","9258","","","","0"
"2015","Canada","2016A000011124","Aircraft and traffic servicing personnel","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100695","1.6.1.2","449534","","","","0"
"2015","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100666","1.6.2.1","8837","","","","0"
"2015","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100667","1.6.2.2","431487","","","","0"
"2015","Canada","2016A000011124","Aircraft and traffic servicing personnel","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100680","1.6.3.1","421","","","","0"
