"REF_DATE","GEO","DGUID","Type of service","Air carrier levels","Operating statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615213","1.3.2.7","1090188","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Hours flown","Number","223","thousands","3","v122615214","1.3.2.8","171","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Passengers","Number","223","thousands","3","v122615215","1.3.3.2","1253","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Goods carried","Kilograms","192","thousands","3","v122615216","1.3.3.3","54074","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Passenger-kilometres","Number","223","thousands","3","v122615217","1.3.3.4","739139","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615218","1.3.3.5","73914","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615219","1.3.3.6","23648","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615220","1.3.3.7","97562","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Level III","Hours flown","Number","223","thousands","3","v122615221","1.3.3.8","384","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Number of carriers included","Number","223","units","0","v122615158","1.1.1.1","97","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Passengers","Number","223","thousands","3","v122615159","1.1.1.2","67991","","","","0"
"2013","Canada","2016A000011124","Total, scheduled and charter services","Total, Canadian air carriers, Levels I to III","Goods carried","Kilograms","192","thousands","3","v122615160","1.1.1.3","720872","","","","0"
