"REF_DATE","GEO","DGUID","Type of fuel","Air carrier levels","Fuel consumption","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100706","1.2.3.1","168434","","","","0"
"2015","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100707","1.2.3.2","167188","","","","0"
"2015","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100708","1.3.3.1","16222","","","","0"
"2015","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100709","1.3.3.2","17518","","","","0"
"2015","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100716","1.4.1.1","17947","","","","0"
"2015","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100717","1.4.1.2","19980","","","","0"
"2015","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100702","1.4.2.1","1618","","","","0"
"2015","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100703","1.4.2.2","1957","","","","0"
"2015","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100710","1.4.3.1","107","","","","0"
"2015","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100711","1.4.3.2","505","","","","0"
"2016","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100718","1.1.1.1","7255284","","","","0"
"2016","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100719","1.1.1.2","4405646","","","","0"
"2016","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100704","1.1.2.1","7099032","","","","0"
"2016","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100705","1.1.2.2","4244079","","","","0"
"2016","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100712","1.1.3.1","156251","","","","0"
"2016","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100713","1.1.3.2","161567","","","","0"
"2016","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100714","1.2.1.1","7229630","","","","0"
"2016","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100715","1.2.1.2","4375776","","","","0"
"2016","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100700","1.2.2.1","7097481","","","","0"
"2016","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100701","1.2.2.2","4241687","","","","0"
"2016","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100706","1.2.3.1","132149","","","","0"
"2016","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100707","1.2.3.2","134088","","","","0"
"2016","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100708","1.3.3.1","23965","","","","0"
"2016","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100709","1.3.3.2","26493","","","","0"
"2016","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100716","1.4.1.1","25653","","","","0"
"2016","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100717","1.4.1.2","29871","","","","0"
"2016","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100702","1.4.2.1","1552","","","","0"
"2016","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100703","1.4.2.2","2392","","","","0"
"2016","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100710","1.4.3.1","137","","","","0"
"2016","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100711","1.4.3.2","985","","","","0"
"2017","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100718","1.1.1.1","8139488","","","","0"
"2017","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100719","1.1.1.2","5423920","","","","0"
"2017","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100704","1.1.2.1","7964180","","","","0"
"2017","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100705","1.1.2.2","5228398","","","","0"
"2017","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100712","1.1.3.1","175308","","","","0"
"2017","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100713","1.1.3.2","195522","","","","0"
"2017","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100714","1.2.1.1","8121750","","","","0"
"2017","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100715","1.2.1.2","5395506","","","","0"
"2017","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100700","1.2.2.1","7962191","","","","0"
"2017","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100701","1.2.2.2","5225718","","","","0"
"2017","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100706","1.2.3.1","159559","","","","0"
"2017","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100707","1.2.3.2","169788","","","","0"
